date,close,volume,open,high,low
1/24/14,79.16,7120460,79.61,80,79.16
1/23/14,80.24,6386966,79.62,80.3,79.19
1/22/14,80.2,5821612,80.66,80.81,79.92
1/21/14,80.46,6932848,81.3,81.5,79.81
1/17/14,81,6177964,81.32,81.35,80.65
1/16/14,81.26,4871229,80.9,81.38,80.78
1/15/14,81.07,5196781,80.85,81.43,80.74
1/14/14,81.01,5217305,81.28,81.488,80.61
1/13/14,80.97,6952443,81.61,82.13,80.96
1/10/14,82.01,4980999,81.72,82.04,81.42
1/9/14,81.57,4966037,81.9,81.94,80.975
1/8/14,81.93,4662272,81.54,81.94,81.03
1/7/14,81.5,4630919,81.31,81.92,81.08
1/6/14,81.1,11188820,81.65,81.98,81.1
1/3/14,81.89,3897892,81.91,82.48,81.83
1/2/14,82.02,4253436,82.11,82.57,81.8
12/31/13,82.34,4493565,81.99,82.47,81.715
12/30/13,81.94,3526134,81.67,81.98,81.459
12/27/13,81.64,3961946,81.65,82.24,81.22
12/26/13,81.55,3848844,80.84,81.74,80.81
12/24/13,80.64,1819821,80.56,80.96,80.56
12/23/13,80.56,3941347,80.07,80.92,80.04
12/20/13,80.04,11232930,80.18,80.83,80.04
12/19/13,79.95,6620775,80.08,80.47,79.64
12/18/13,80.05,8170261,78.8,80.06,78.3101
